;Kundennummer;Kundenname;Stadt;Kundengruppe;Kündigung;Anzahl_Mieteinheiten;Kundentyp;Konkurrenz
50;14792;Urban Harloff MBA.;Hildesheim;mittlerer Kunde;0;135;Altkunden;Keine Konkurrenz
51;72156;Eugen Heuser;Osterodem Harz;Kleinkunde;0;26;Neukunde;Hohe Konkurrenz
52;39618;Anatolij Krebs;Gütersloh;Kleinkunde;1;21;Bestandskunden;Hohe Konkurrenz
53;63006;Lieselotte Wesack B.A.;Mittweida;Großkunde;0;219;Bestandskunden;Keine Konkurrenz
54;48692;Karl-Wilhelm Girschner;Säckingen;Großkunde;0;902;Altkunden;mittlerer Konkurrenz
55;15666;Gönül Schomber;Herford;mittlerer Kunde;0;93;Bestandskunden;mittlerer Konkurrenz
56;29463;Sergio Juncken B.A.;Meißen;Kleinkunde;0;27;Altkunden;Keine Konkurrenz
57;75646;Ing. Raimund Junken;Tuttlingen;Großkunde;1;428;Bestandskunden;Hohe Konkurrenz
58;24575;Ing. Juliane Mosemann;Melsungen;Kleinkunde;0;29;Neukunde;Hohe Konkurrenz
59;34667;Karl-Werner Lehmann MBA.;Kaiserslautern;Kleinkunde;0;31;Altkunden;mittlerer Konkurrenz
60;94543;Dr. Songül Weller MBA.;Klötze;Großkunde;0;205;Bestandskunden;Keine Konkurrenz
61;38576;Ing. Wenke Geißler;Bamberg;Kleinkunde;0;23;Bestandskunden;mittlerer Konkurrenz
62;61803;Jovan Gotthard;Grimmen;Kleinkunde;0;42;Neukunde;Keine Konkurrenz
63;41472;Frau Helmtrud Ehlert MBA.;Suhl;Kleinkunde;0;49;Bestandskunden;mittlerer Konkurrenz
64;31305;Anselm Stroh B.Eng.;Göttingen;Kleinkunde;0;45;Bestandskunden;mittlerer Konkurrenz
65;92342;Prof. Rainer Roskoth B.Sc.;Sebnitz;Großkunde;0;401;Neukunde;Keine Konkurrenz
66;13157;Victoria Patberg;Potsdam;Kleinkunde;0;41;Bestandskunden;Hohe Konkurrenz
67;58900;Karl-Hans Dörr;Eilenburg;Kleinkunde;0;32;Bestandskunden;Keine Konkurrenz
68;69787;Stefani Eigenwillig;Gadebusch;Großkunde;0;607;Bestandskunden;Keine Konkurrenz
69;13994;Celal Weitzel-Stiffel;Goslar;Kleinkunde;0;24;Bestandskunden;Keine Konkurrenz
70;5021;Zeljko Noack;Stadtsteinach;Großkunde;0;671;Bestandskunden;mittlerer Konkurrenz
71;53746;Dipl.-Ing. Herwig Schottin MBA.;Passau;Kleinkunde;0;5;Bestandskunden;Hohe Konkurrenz
72;65065;Univ.Prof. Cornelia Hornig;Querfurt;mittlerer Kunde;1;71;Bestandskunden;Hohe Konkurrenz
73;46584;Nora Schleich;Hofgeismar;Kleinkunde;1;28;Neukunde;Hohe Konkurrenz
74;51650;Bertha Stumpf-Mohaupt;Ahaus;Großkunde;1;238;Bestandskunden;mittlerer Konkurrenz
75;4562;Kuno Metz MBA.;Gotha;Kleinkunde;0;29;Bestandskunden;mittlerer Konkurrenz
76;62513;Ing. Veronique Pechel;Borken;mittlerer Kunde;0;147;Neukunde;mittlerer Konkurrenz
77;28607;Prof. Uschi Höfig;Vechta;Großkunde;0;512;Altkunden;mittlerer Konkurrenz
78;35714;Catherine Hornig;Eichstätt;Großkunde;1;511;Bestandskunden;mittlerer Konkurrenz
79;5099;Herr Ulrich Bruder;Pritzwalk;mittlerer Kunde;0;75;Altkunden;Keine Konkurrenz
80;79651;Univ.Prof. Marvin Metz;Düren;mittlerer Kunde;1;193;Neukunde;Hohe Konkurrenz
81;38792;David Wirth;Geldern;Großkunde;0;663;Bestandskunden;Hohe Konkurrenz
82;31484;Brit Eigenwillig B.Eng.;Heiligenstadt;Kleinkunde;0;33;Bestandskunden;Keine Konkurrenz
83;28242;Pavel Geisler-Mühle;Wittenberg;Kleinkunde;0;16;Neukunde;Hohe Konkurrenz
84;94013;Sophia Linke;Groß-Gerau;Kleinkunde;0;37;Altkunden;Hohe Konkurrenz
85;97435;Jeannine Winkler;Wittstock;Kleinkunde;0;23;Bestandskunden;Keine Konkurrenz
86;64509;Bernd Kensy;Großenhain;Großkunde;0;598;Bestandskunden;mittlerer Konkurrenz
87;4750;Annette Hörle-Plath;Darmstadt;Großkunde;0;388;Bestandskunden;mittlerer Konkurrenz
88;69376;Theresia Höfig;Nürtingen;Kleinkunde;1;13;Neukunde;Keine Konkurrenz
89;70316;Prof. Günther Kroker;Auerbach;Großkunde;0;415;Altkunden;Keine Konkurrenz
90;26505;Elwira Scholl;Brandenburg;mittlerer Kunde;0;128;Altkunden;mittlerer Konkurrenz
91;49113;Tanja Wilmsen-Plath;Beeskow;Kleinkunde;0;8;Altkunden;mittlerer Konkurrenz
92;45802;Othmar Mielcarek;Miltenberg;Großkunde;0;244;Bestandskunden;Keine Konkurrenz
93;27329;Ing. Paula Hande;Rochlitz;mittlerer Kunde;0;199;Altkunden;Hohe Konkurrenz
94;43402;Denise Scheibe;Weißwasser;mittlerer Kunde;0;180;Neukunde;mittlerer Konkurrenz
95;79851;Eugen Klotz;Stendal;mittlerer Kunde;0;165;Altkunden;Hohe Konkurrenz
96;14209;Ernst-Dieter Rogge;Roth;Kleinkunde;0;19;Bestandskunden;Keine Konkurrenz
97;22533;Burkhardt Löwer MBA.;Altentreptow;Großkunde;0;957;Bestandskunden;Keine Konkurrenz
98;69933;Herr Edelbert Rosemann;Feuchtwangen;mittlerer Kunde;0;79;Bestandskunden;Keine Konkurrenz
99;28404;Friedhelm Weimer;Schwäbisch Gmünd;Kleinkunde;0;27;Altkunden;Keine Konkurrenz
100;28952;Univ.Prof. Rabea Hertrampf B.Eng.;Saarlouis;mittlerer Kunde;0;163;Altkunden;Keine Konkurrenz
101;29561;Univ.Prof. Mareen Wirth MBA.;Wertingen;Kleinkunde;1;6;Bestandskunden;Hohe Konkurrenz
102;90766;Hans Oestrovsky;Magdeburg;mittlerer Kunde;0;149;Neukunde;Hohe Konkurrenz
103;74177;Heinz-Willi Warmer;Wittenberg;Großkunde;0;254;Neukunde;Hohe Konkurrenz
104;4656;Katy Mälzer;Suhl;Kleinkunde;0;43;Altkunden;mittlerer Konkurrenz
105;12571;André Schuster;Stadtsteinach;mittlerer Kunde;0;145;Bestandskunden;mittlerer Konkurrenz
106;89575;Waldtraut Lange;Viechtach;Großkunde;0;672;Altkunden;Hohe Konkurrenz
107;84536;Milica Bärer;Wittstock;mittlerer Kunde;0;52;Bestandskunden;Keine Konkurrenz
108;13926;Undine Knappe B.A.;Staffelstein;Großkunde;0;399;Bestandskunden;mittlerer Konkurrenz
109;8599;Adelgunde Juncken;Peine;mittlerer Kunde;0;117;Bestandskunden;Keine Konkurrenz
110;99782;Katja Krein;Beeskow;Großkunde;0;915;Neukunde;mittlerer Konkurrenz
111;84791;Univ.Prof. Rouven Junk B.Eng.;Seelow;Großkunde;0;809;Neukunde;Keine Konkurrenz
112;94480;Dr. Änne Hettner;Senftenberg;Großkunde;1;205;Bestandskunden;Keine Konkurrenz
113;93421;Dipl.-Ing. Kornelia Junck;Witzenhausen;Kleinkunde;0;18;Bestandskunden;Keine Konkurrenz
114;73816;Prof. Luitgard Köster;Husum;mittlerer Kunde;0;130;Altkunden;Keine Konkurrenz
115;69265;Heide Zorbach;Pfaffenhofenner Ilm;Großkunde;1;987;Bestandskunden;Hohe Konkurrenz
116;11724;Gerfried Weinhold B.A.;Husum;mittlerer Kunde;0;160;Bestandskunden;Keine Konkurrenz
117;52258;Samira Eigenwillig;Mellrichstadt;Großkunde;0;803;Bestandskunden;mittlerer Konkurrenz
118;48689;Dorothee Kramer;Dinkelsbühl;Großkunde;1;935;Bestandskunden;Hohe Konkurrenz
119;74537;Ehrenfried Mosemann;Koblenz;mittlerer Kunde;0;121;Bestandskunden;Keine Konkurrenz
120;87356;Herr Olaf Bauer;Teterow;mittlerer Kunde;0;85;Bestandskunden;Keine Konkurrenz
121;54209;Istvan Eimer-Ortmann;Oschatz;Großkunde;0;633;Bestandskunden;mittlerer Konkurrenz
122;79105;Gunther Etzler;Bad Langensalza;Großkunde;0;778;Bestandskunden;Keine Konkurrenz
123;46506;Prof. Stephen Stiffel;Hagenow;mittlerer Kunde;0;97;Neukunde;Keine Konkurrenz
124;70897;Rosel Kramer-Junk;Ingolstadt;mittlerer Kunde;1;116;Bestandskunden;Keine Konkurrenz
125;17225;Slawomir Rudolph;Pößneck;Kleinkunde;0;24;Bestandskunden;mittlerer Konkurrenz
126;56987;Irmengard Hettner;Backnang;Großkunde;0;967;Neukunde;Hohe Konkurrenz
127;69641;Klaus-D. Bolander B.Sc.;Moers;mittlerer Kunde;0;103;Bestandskunden;Keine Konkurrenz
128;62773;Metin Buchholz;Sangerhausen;Kleinkunde;1;34;Altkunden;Hohe Konkurrenz
129;29368;Janko Liebelt-Süßebier;Gelnhausen;Großkunde;0;447;Bestandskunden;Hohe Konkurrenz
130;6381;Dipl.-Ing. Helmut Kambs B.Sc.;Uffenheim;Kleinkunde;1;46;Bestandskunden;Hohe Konkurrenz
131;8147;Rochus Zahn;Biedenkopf;Großkunde;0;301;Altkunden;Keine Konkurrenz
132;63595;Elma Mende;Oranienburg;Kleinkunde;0;21;Bestandskunden;Hohe Konkurrenz
133;94574;Maurice Hölzenbecher B.Sc.;Badibling;Kleinkunde;0;26;Bestandskunden;Hohe Konkurrenz
134;41610;Denis Dippel;Grevesmühlen;Großkunde;0;274;Bestandskunden;mittlerer Konkurrenz
135;40311;Heide Geißler;Sulzbach-Rosenberg;Großkunde;0;217;Bestandskunden;Keine Konkurrenz
136;19174;Marie Margraf B.Eng.;Stadtroda;Großkunde;0;205;Neukunde;mittlerer Konkurrenz
137;38856;Blanka Römer;Schwabmünchen;Kleinkunde;0;45;Bestandskunden;Hohe Konkurrenz
138;1832;Renata Schweitzer-Hornig;Neubrandenburg;Großkunde;1;944;Bestandskunden;Hohe Konkurrenz
139;32368;Ursel Drubin B.Eng.;Hünfeld;mittlerer Kunde;1;172;Bestandskunden;Keine Konkurrenz
140;22681;Uwe Wilmsen;Bogen;Kleinkunde;0;13;Bestandskunden;Hohe Konkurrenz
141;39774;Anna-Maria Täsche-Ackermann;Plauen;Kleinkunde;0;33;Altkunden;Hohe Konkurrenz
142;42944;Axel Seifert B.Eng.;Saarbrücken;Kleinkunde;0;6;Bestandskunden;mittlerer Konkurrenz
143;58722;Univ.Prof. Liesbeth Gumprich MBA.;Sangerhausen;Kleinkunde;0;14;Bestandskunden;Hohe Konkurrenz
144;66157;Hermann Josef Förster;Großenhain;mittlerer Kunde;0;158;Neukunde;mittlerer Konkurrenz
145;39647;Luzia Fritsch-Nette;Marienberg;Kleinkunde;1;14;Bestandskunden;mittlerer Konkurrenz
146;56381;Ulrike Vollbrecht;Lippstadt;Großkunde;0;419;Bestandskunden;Keine Konkurrenz
147;18620;Claudio Sager-Nerger;Hohenstein-Ernstthal;mittlerer Kunde;0;123;Bestandskunden;mittlerer Konkurrenz
148;33117;Dipl.-Ing. Mirko Gorlitz;Eisleben;Großkunde;1;454;Neukunde;Keine Konkurrenz
149;80421;Dagmar Meyer;Wiedenbrück;Kleinkunde;0;20;Bestandskunden;mittlerer Konkurrenz
150;96884;Siegmar Wähner;Saulgau;mittlerer Kunde;0;182;Bestandskunden;Hohe Konkurrenz
151;42929;Bianca Henschel-Kruschwitz;Büsingenm Hochrhein;Kleinkunde;0;31;Neukunde;mittlerer Konkurrenz
152;18326;Frau Telse Naser;Ludwigslust;Kleinkunde;1;26;Neukunde;Keine Konkurrenz
153;65292;Klaus-Ulrich Conradi;Büsingenm Hochrhein;Kleinkunde;1;30;Bestandskunden;mittlerer Konkurrenz
154;44834;Susanne Kade;Celle;Großkunde;0;735;Bestandskunden;mittlerer Konkurrenz
155;78975;Elisabet Henschel MBA.;Illertissen;Großkunde;0;585;Bestandskunden;Keine Konkurrenz
156;90995;Elzbieta Adler;Freising;mittlerer Kunde;0;74;Bestandskunden;Hohe Konkurrenz
157;64952;Riza Köhler;Gunzenhausen;mittlerer Kunde;0;89;Bestandskunden;Hohe Konkurrenz
158;56148;Rose Hermighausen;Konstanz;Großkunde;0;929;Altkunden;Hohe Konkurrenz
159;9724;Dr. Stefania Oestrovsky;Greiz;Kleinkunde;0;5;Neukunde;mittlerer Konkurrenz
160;27767;Ing. Eberhardt Wernecke;Stadtroda;Großkunde;1;967;Bestandskunden;mittlerer Konkurrenz
161;37099;Lidwina Dowerg;Erding;Großkunde;1;356;Altkunden;Hohe Konkurrenz
162;45465;Elli Hein B.Eng.;Bersenbrück;Kleinkunde;1;3;Neukunde;Keine Konkurrenz
163;9429;Friederike Hoffmann;Kyritz;Kleinkunde;0;48;Bestandskunden;Keine Konkurrenz
164;83285;Jadwiga Spieß;Artern;Kleinkunde;0;8;Bestandskunden;Keine Konkurrenz
165;35310;Dr. Hans-Dietrich Dussen van B.A.;Brandenburg;Kleinkunde;0;6;Altkunden;mittlerer Konkurrenz
166;90671;Babett Textor;Ingolstadt;mittlerer Kunde;0;156;Altkunden;Keine Konkurrenz
167;75935;Boris Holzapfel;Dresden;Kleinkunde;0;49;Altkunden;mittlerer Konkurrenz
168;69695;Cläre Schuchhardt;Stadtroda;Kleinkunde;0;28;Bestandskunden;mittlerer Konkurrenz
169;10585;Maxim Hänel;Zossen;Kleinkunde;1;28;Bestandskunden;mittlerer Konkurrenz
170;30527;Prof. Agatha Bohnbach B.A.;Heiligenstadt;mittlerer Kunde;0;152;Bestandskunden;Keine Konkurrenz
171;32114;Bernard Reichmann;Soest;mittlerer Kunde;0;133;Bestandskunden;Keine Konkurrenz
172;91584;Frau Nadeschda Gotthard;Uelzen;mittlerer Kunde;1;146;Neukunde;Hohe Konkurrenz
173;55386;Karola Caspar;Potsdam;Kleinkunde;0;25;Bestandskunden;Hohe Konkurrenz
174;92875;Ing. Ahmet Reichmann;Koblenz;Kleinkunde;0;2;Bestandskunden;Keine Konkurrenz
175;7970;Susanna Säuberlich MBA.;Jüterbog;Großkunde;0;460;Neukunde;Keine Konkurrenz
176;25814;Heide Weitzel;Northeim;Kleinkunde;0;19;Neukunde;mittlerer Konkurrenz
177;15282;Horst-Dieter Schüler;Tuttlingen;Großkunde;0;695;Bestandskunden;Hohe Konkurrenz
178;11428;Burkard Kade-Geisel;Schwäbisch Gmünd;Großkunde;0;500;Altkunden;Keine Konkurrenz
179;40623;Dipl.-Ing. Bernt Hänel;Quedlinburg;mittlerer Kunde;0;178;Neukunde;Hohe Konkurrenz
180;85136;Cathrin Zorbach B.A.;Hannover;Kleinkunde;0;14;Neukunde;Keine Konkurrenz
181;70977;Gisa Loos;Weißwasser;Großkunde;0;608;Bestandskunden;mittlerer Konkurrenz
182;98168;Ekrem Ehlert-Klapp;Naila;mittlerer Kunde;0;101;Bestandskunden;mittlerer Konkurrenz
183;67880;Alfredo Rogge;Einbeck;Kleinkunde;0;21;Bestandskunden;mittlerer Konkurrenz
184;11291;Josip Linke;Sigmaringen;Großkunde;1;630;Altkunden;Hohe Konkurrenz
185;37229;Ing. Frank-Peter Rogge B.Eng.;Husum;mittlerer Kunde;0;64;Bestandskunden;Keine Konkurrenz
186;26757;Hans-Erich Klemt-Drubin;Lüdinghausen;Kleinkunde;1;15;Neukunde;Hohe Konkurrenz
187;25845;Enrico Gieß;Lippstadt;Kleinkunde;0;15;Neukunde;Keine Konkurrenz
188;47088;Paul-Heinz Mälzer;Mühlhausen;mittlerer Kunde;0;132;Bestandskunden;Keine Konkurrenz
189;88778;Prof. Michel Niemeier MBA.;Schweinfurt;Großkunde;0;685;Bestandskunden;Keine Konkurrenz
190;52981;Dipl.-Ing. Hatice Kreusel;Berchtesgaden;mittlerer Kunde;0;60;Bestandskunden;mittlerer Konkurrenz
191;64140;Dr. Gesine Gerlach;Rehau;mittlerer Kunde;0;132;Bestandskunden;Keine Konkurrenz
192;61182;Prof. Raphael Vollbrecht B.Eng.;Gera;Kleinkunde;0;31;Bestandskunden;Keine Konkurrenz
193;24512;Philipp Geißler-Barth;Kusel;mittlerer Kunde;0;150;Bestandskunden;mittlerer Konkurrenz
194;86855;Thaddäus Schinke-Mitschke;Beilngries;Kleinkunde;0;35;Neukunde;Hohe Konkurrenz
195;49928;Nico Sontag;Rockenhausen;Großkunde;0;870;Bestandskunden;Keine Konkurrenz
196;84267;Agnieszka Holsten;Weißwasser;Kleinkunde;0;35;Neukunde;mittlerer Konkurrenz
197;42776;Gernot Bauer;Nordhausen;Kleinkunde;1;10;Bestandskunden;Hohe Konkurrenz
198;96890;Univ.Prof. Pius Preiß MBA.;Eichstätt;Kleinkunde;0;46;Bestandskunden;mittlerer Konkurrenz
199;88047;Ferenc Oestrovsky;Aurich;mittlerer Kunde;1;184;Bestandskunden;Hohe Konkurrenz
200;23068;Prof. Kunigunda Wernecke;Wunsiedel;Kleinkunde;1;44;Bestandskunden;Hohe Konkurrenz
201;21478;Dipl.-Ing. Harriet Matthäi;Starnberg;mittlerer Kunde;0;86;Bestandskunden;mittlerer Konkurrenz
202;87592;Frau Alla Roht;Schleiz;Kleinkunde;0;8;Bestandskunden;mittlerer Konkurrenz
203;59034;Jacek Bien;Helmstedt;Kleinkunde;0;31;Altkunden;Keine Konkurrenz
204;2674;Prof. Anastasios Hänel B.A.;Coburg;Kleinkunde;0;43;Altkunden;Keine Konkurrenz
205;53035;Ing. Konrad Meyer;Rochlitz;Großkunde;0;519;Altkunden;Hohe Konkurrenz
206;36582;Ing. Ernest Kreusel;Geldern;mittlerer Kunde;1;79;Altkunden;Hohe Konkurrenz
207;65479;Rosina Barkholz MBA.;Bad Kissingen;Kleinkunde;0;21;Bestandskunden;Hohe Konkurrenz
208;38211;Rüdiger Plath;Mellrichstadt;Kleinkunde;1;4;Bestandskunden;mittlerer Konkurrenz
209;23616;Eberhardt Plath;Schwarzenberg;Kleinkunde;0;8;Bestandskunden;mittlerer Konkurrenz
210;35522;Pedro Reuter B.Sc.;Neubrandenburg;Großkunde;1;790;Bestandskunden;Hohe Konkurrenz
211;37721;Jo Striebitz;Vohenstrauß;Kleinkunde;0;22;Bestandskunden;Keine Konkurrenz
212;29453;Concetta Hahn-Gnatz;Eichstätt;Großkunde;0;295;Neukunde;mittlerer Konkurrenz
213;12299;Josef Hecker;Tuttlingen;Kleinkunde;1;16;Bestandskunden;Hohe Konkurrenz
214;84261;Dr. Karola Schomber;Berlin;Kleinkunde;0;30;Bestandskunden;mittlerer Konkurrenz
215;58691;Prof. Aleksandar Herrmann MBA.;Bitterfeld;Großkunde;1;311;Bestandskunden;Hohe Konkurrenz
216;33362;Prof. Leila Schüler B.Eng.;Eichstätt;Kleinkunde;1;18;Bestandskunden;mittlerer Konkurrenz
217;72672;Mara Anders-Herrmann;Greiz;Kleinkunde;0;19;Bestandskunden;mittlerer Konkurrenz
218;72593;Guiseppe Beer B.Sc.;Altötting;Großkunde;0;691;Altkunden;mittlerer Konkurrenz
219;66605;Tobias Trupp B.Sc.;Norden;Großkunde;0;813;Bestandskunden;mittlerer Konkurrenz
220;57065;Anna-Luise Täsche MBA.;Wetzlar;Kleinkunde;1;24;Neukunde;Keine Konkurrenz
221;89780;Irmhild Mangold;Dinkelsbühl;Kleinkunde;0;24;Altkunden;Hohe Konkurrenz
222;2584;Iwan Matthäi;Viechtach;Kleinkunde;1;17;Neukunde;Hohe Konkurrenz
223;27089;Dierk Wähner;Döbeln;mittlerer Kunde;0;82;Neukunde;Hohe Konkurrenz
224;63214;Leonardo Hering-Textor;Göttingen;mittlerer Kunde;1;69;Bestandskunden;mittlerer Konkurrenz
225;70622;Herr Jerzy Haase;Hersbruck;mittlerer Kunde;1;98;Bestandskunden;Hohe Konkurrenz
226;33175;Lidija Schönland;Bamberg;mittlerer Kunde;0;187;Bestandskunden;mittlerer Konkurrenz
227;69902;Pedro Hövel;Illertissen;Kleinkunde;0;5;Bestandskunden;Keine Konkurrenz
228;34061;Nils Textor MBA.;Borken;Großkunde;0;739;Bestandskunden;mittlerer Konkurrenz
229;92537;Dipl.-Ing. Theobald Wernecke;Grevesmühlen;mittlerer Kunde;0;66;Bestandskunden;mittlerer Konkurrenz
230;72852;Türkan Lübs;Stendal;Kleinkunde;1;47;Bestandskunden;Hohe Konkurrenz
231;76425;Univ.Prof. Leo Hamann B.Sc.;Luckau;Kleinkunde;0;20;Bestandskunden;mittlerer Konkurrenz
232;27585;Frau Annelie Säuberlich;Tuttlingen;Großkunde;0;407;Bestandskunden;Hohe Konkurrenz
233;57073;Bruni Textor;Pasewalk;Großkunde;0;269;Altkunden;mittlerer Konkurrenz
234;23151;Edeltraud Rörricht;Parchim;Kleinkunde;0;6;Neukunde;Hohe Konkurrenz
235;99310;Burkhardt Loos;Säckingen;mittlerer Kunde;0;82;Bestandskunden;mittlerer Konkurrenz
236;87426;Jobst Berger-Sontag;Emmendingen;Kleinkunde;0;47;Altkunden;mittlerer Konkurrenz
237;24182;Heinz Dieter Schmidt;Karlsruhe;Großkunde;1;203;Bestandskunden;Hohe Konkurrenz
238;83507;Leopoldine Matthäi;Spremberg;mittlerer Kunde;0;184;Bestandskunden;mittlerer Konkurrenz
239;92867;Jacob Seip MBA.;Pritzwalk;Großkunde;0;429;Bestandskunden;Keine Konkurrenz
240;43289;Kuno Wagenknecht;Spremberg;Großkunde;0;525;Altkunden;mittlerer Konkurrenz
241;18123;Dipl.-Ing. Gero Ullrich B.Eng.;Jessen;Kleinkunde;0;35;Neukunde;Keine Konkurrenz
242;63037;Herr David Heinrich B.Eng.;Weißenfels;Kleinkunde;1;16;Bestandskunden;Hohe Konkurrenz
243;3250;Ian Freudenberger;Altötting;Großkunde;0;420;Bestandskunden;mittlerer Konkurrenz
244;45397;Gerfried Geisel-Kobelt;Borna;mittlerer Kunde;0;55;Bestandskunden;Hohe Konkurrenz
245;75977;Utz Kabus;Berchtesgaden;mittlerer Kunde;0;54;Altkunden;mittlerer Konkurrenz
246;9193;Heinz-Gerd Ladeck;Schwerin;Großkunde;0;575;Bestandskunden;Keine Konkurrenz
247;78699;Marzena Bohnbach;Ebern;mittlerer Kunde;0;72;Bestandskunden;Hohe Konkurrenz
